8.4  0.15 9.3   0.1	8.4   0.1	8.1   0.1	8.4   0.15	9.4   0.1	9.5   0.1	8.4   0.1	8.4   0.15	9.0   0.1
9.5  0.5 9.5   0.1	8.8   0.2	9.1   0.5	9.5   0.5	9.6   0.1	9.7   0.1	8.8   0.2	9.5   0.5	9.2   0.1
9.2  0.25 9.6   0.6	9.0   0.6	9.3   0.3	9.2   0.25	9.7   0.6	9.8   0.6	9.0   0.6	9.2   0.25	9.4   0.6
9.4  0.1 9.8   0.2	10   0.1	9.5   0.1	9.4   0.1	9.9   0.2	10   0.2	10   0.1	9.4   0.1	9.7   0.2
8.4  0.1 8.4   0.15	8.1   0.1	8.7   0.1	9.0   0.1	8.7   0.1	8.4   0.1	8.8   0.05	8.4   0.1	8.1   0.1
8.8  0.2 9.0   0.5	9.1   0.5	8.9   0.2	9.2   0.1	8.9   0.2	8.8   0.2	9.2   0.05	8.8   0.1	9.1   0.5
9.0  0.6 9.2   0.25	9.3   0.3	9.1   0.6	9.4   0.6	9.1   0.6	9.0   0.6	9.8   0.5	9.2   0.6	9.3   0.3
10   0.1 9.4   0.1	9.5   0.1	9.9   0.1	9.7   0.2	9.9   0.1	10   0.1	10   0.4	9.8   0.2	9.5   0.1
9.1  0.1 8.4   0.1	8.4   0.15	9.0   0.1	8.3   0.1	8.5   0.1	8.3   0.1	8.7   0.1	8.4   0.1	8.2   0.1
9.3  0.1 8.8   0.2	9.5   0.5	9.4   0.1	8.7   0.1	8.7   0.1	8.7   0.1	8.9   0.2	8.8   0.2	9.2   0.5
9.5  0.6 9.0   0.6	9.2   0.25	9.5   0.5	8.9   0.6	8.9   0.5	8.9   0.6	9.1   0.6	9.0   0.6	9.4   0.3
9.8  0.2 10   0.1	9.4   0.1	9.7   0.3	9.3   0.2	9.1   0.3	9.3   0.2	9.9   0.1	10   0.1	9.6   0.1
8.7  0.1 8.9   0.1	9.5   0.1	8.4   0.1	9.4   0.1	8.4   0.15	8.4   0.1	8.2   0.1	9.3   0.1	9.1   0.1
8.9  0.2 9.1   0.1	9.7   0.1	8.8   0.2	9.6   0.1	9.5   0.5	8.8   0.1	9.3   0.5	9.5   0.1	9.3   0.1
9.1  0.6 9.3   0.6	9.8   0.6	9.0   0.6	9.7   0.6	9.2   0.25	9.2   0.6	9.5   0.3	9.7   0.5	9.5   0.6
9.9  0.1 9.6   0.2	10   0.2	10   0.1	9.9   0.2	9.4   0.1	9.8   0.2	9.8   0.1	9.9   0.3	9.8   0.2
